paper,-1,0,1,2,3,4,5,6,7,8,9
Daily Mail,0.06096311475409836,0.3135245901639344,0.21157786885245902,0.15061475409836064,0.0584016393442623,0.061987704918032786,0.03790983606557377,0.050204918032786885,0.017418032786885244,0.025614754098360656,0.0117827868852459
Evening Standard,0.07430340557275542,0.16408668730650156,0.5510835913312694,0.08668730650154799,0.02786377708978328,0.02786377708978328,0.02476780185758514,0.015479876160990712,0.01238390092879257,0.006191950464396285,0.009287925696594427
The Guardian,0.0603290676416819,0.2595978062157221,0.14076782449725778,0.13711151736745886,0.07861060329067641,0.06398537477148081,0.09506398537477148,0.03473491773308958,0.08043875685557587,0.007312614259597806,0.04204753199268738
