paper,-1,0,1,2,3,4,5,6,7,8,9,10,11
Daily Mail,0.09682377049180328,0.3043032786885246,0.10706967213114754,0.14907786885245902,0.0,0.07991803278688525,0.05942622950819672,0.060450819672131145,0.03739754098360656,0.050204918032786885,0.017930327868852458,0.02612704918032787,0.011270491803278689
Evening Standard,0.09157509157509157,0.08974358974358974,0.25274725274725274,0.04945054945054945,0.4157509157509158,0.027472527472527472,0.018315018315018316,0.016483516483516484,0.014652014652014652,0.007326007326007326,0.009157509157509158,0.003663003663003663,0.003663003663003663
The Guardian,0.06581352833638025,0.2595978062157221,0.08043875685557587,0.1316270566727605,0.0,0.056672760511883,0.07861060329067641,0.062157221206581355,0.09689213893967093,0.03473491773308958,0.08592321755027423,0.007312614259597806,0.04021937842778794
