week_end,Daily Mail,Evening Standard,The Guardian
2022-09-19 23:59:59.999999999,3,1,1
2022-09-26 23:59:59.999999999,13,1,2
2022-10-03 23:59:59.999999999,7,1,2
2022-10-10 23:59:59.999999999,4,0,1
2022-10-17 23:59:59.999999999,6,1,2
2022-10-24 23:59:59.999999999,3,0,4
2022-10-31 23:59:59.999999999,8,1,3
2022-11-07 23:59:59.999999999,8,2,1
2022-11-14 23:59:59.999999999,5,0,1
2022-11-21 23:59:59.999999999,7,1,0
2022-11-28 23:59:59.999999999,7,1,4
2022-12-05 23:59:59.999999999,7,1,3
2022-12-12 23:59:59.999999999,2,0,1
2022-12-19 23:59:59.999999999,5,2,2
2022-12-26 23:59:59.999999999,2,1,1
2023-01-02 23:59:59.999999999,4,1,1
2023-01-09 23:59:59.999999999,3,2,2
2023-01-16 23:59:59.999999999,2,1,4
2023-01-23 23:59:59.999999999,4,0,7
2023-01-30 23:59:59.999999999,10,0,2
2023-02-06 23:59:59.999999999,2,0,2
2023-02-13 23:59:59.999999999,2,2,0
2023-02-20 23:59:59.999999999,3,1,0
2023-02-27 23:59:59.999999999,0,0,1
2023-03-06 23:59:59.999999999,9,1,1
2023-03-13 23:59:59.999999999,1,1,7
2023-03-20 23:59:59.999999999,10,1,4
2023-03-27 23:59:59.999999999,12,1,2
2023-04-03 23:59:59.999999999,8,1,1
2023-04-10 23:59:59.999999999,5,2,1
2023-04-17 23:59:59.999999999,7,1,1
2023-04-24 23:59:59.999999999,1,0,0
2023-05-01 23:59:59.999999999,4,0,2
2023-05-08 23:59:59.999999999,1,0,2
2023-05-15 23:59:59.999999999,7,0,2
2023-05-22 23:59:59.999999999,3,0,3
2023-05-29 23:59:59.999999999,3,7,3
2023-06-05 23:59:59.999999999,0,1,2
2023-06-12 23:59:59.999999999,7,3,1
2023-06-19 23:59:59.999999999,4,1,0
2023-06-26 23:59:59.999999999,2,0,2
2023-07-03 23:59:59.999999999,11,0,4
2023-07-10 23:59:59.999999999,3,2,1
2023-07-17 23:59:59.999999999,1,0,1
2023-07-24 23:59:59.999999999,5,0,2
2023-07-31 23:59:59.999999999,0,0,3
2023-08-07 23:59:59.999999999,8,3,4
2023-08-14 23:59:59.999999999,1,1,0
2023-08-21 23:59:59.999999999,1,1,0
2023-08-28 23:59:59.999999999,3,0,1
2023-09-04 23:59:59.999999999,2,1,2
2023-09-11 23:59:59.999999999,3,1,3
2023-09-18 23:59:59.999999999,0,0,3
2023-09-25 23:59:59.999999999,2,0,2
2023-10-02 23:59:59.999999999,1,0,0
2023-10-16 23:59:59.999999999,2,1,2
2023-10-23 23:59:59.999999999,5,0,0
2023-10-30 23:59:59.999999999,2,0,0
2023-11-06 23:59:59.999999999,5,2,3
2023-11-13 23:59:59.999999999,9,1,2
2023-11-20 23:59:59.999999999,8,1,3
2023-11-27 23:59:59.999999999,6,7,0
2023-12-04 23:59:59.999999999,0,2,2
2023-12-11 23:59:59.999999999,0,0,2
2023-12-18 23:59:59.999999999,2,0,1
2023-12-25 23:59:59.999999999,6,1,4
2024-01-01 23:59:59.999999999,8,2,3
2024-01-08 23:59:59.999999999,4,3,0
2024-01-15 23:59:59.999999999,5,1,2
2024-01-22 23:59:59.999999999,2,0,3
2024-01-29 23:59:59.999999999,4,0,3
2024-02-05 23:59:59.999999999,5,1,3
2024-02-12 23:59:59.999999999,4,1,0
2024-02-19 23:59:59.999999999,1,0,0
2024-02-26 23:59:59.999999999,1,1,4
2024-03-04 23:59:59.999999999,4,1,1
2024-03-11 23:59:59.999999999,2,0,1
2024-03-18 23:59:59.999999999,1,0,0
2024-03-25 23:59:59.999999999,3,0,0
2024-04-01 23:59:59.999999999,2,0,0
2024-04-08 23:59:59.999999999,1,0,1
2024-04-15 23:59:59.999999999,4,0,0
2024-04-22 23:59:59.999999999,6,0,1
2024-04-29 23:59:59.999999999,7,0,4
2024-05-06 23:59:59.999999999,15,4,4
2024-05-13 23:59:59.999999999,9,0,5
2024-05-20 23:59:59.999999999,2,2,2
2024-05-27 23:59:59.999999999,3,1,3
2024-06-03 23:59:59.999999999,2,0,1
2024-06-10 23:59:59.999999999,1,0,4
2024-06-17 23:59:59.999999999,6,0,1
2024-06-24 23:59:59.999999999,4,1,1
2024-07-01 23:59:59.999999999,2,1,0
2024-07-08 23:59:59.999999999,4,1,0
2024-07-15 23:59:59.999999999,2,1,1
2024-07-22 23:59:59.999999999,8,1,4
2024-07-29 23:59:59.999999999,3,1,1
2024-08-05 23:59:59.999999999,25,21,1
2024-08-12 23:59:59.999999999,27,16,2
2024-08-19 23:59:59.999999999,10,6,4
2024-08-26 23:59:59.999999999,6,2,1
2024-09-02 23:59:59.999999999,4,0,1
2024-09-09 23:59:59.999999999,4,4,3
2024-09-16 23:59:59.999999999,6,1,1
2024-09-23 23:59:59.999999999,3,4,3
2024-09-30 23:59:59.999999999,2,2,0
2024-10-07 23:59:59.999999999,3,0,1
2024-10-14 23:59:59.999999999,3,0,1
2024-10-21 23:59:59.999999999,0,3,0
2024-10-28 23:59:59.999999999,1,3,1
2024-11-04 23:59:59.999999999,2,1,2
2024-11-11 23:59:59.999999999,6,1,1
2024-11-18 23:59:59.999999999,0,0,2
2024-12-02 23:59:59.999999999,5,1,2
2024-12-09 23:59:59.999999999,10,0,0
2024-12-16 23:59:59.999999999,2,3,1
2024-12-23 23:59:59.999999999,4,3,1
2024-12-30 23:59:59.999999999,1,1,1
