covid_period,n,mean,median,std
COVID,1634,-0.724310771113831,-0.99,0.5845129185463724
Post-COVID,1104,-0.6363072463768116,-0.98165,0.6563266304796155
Pre-COVID,85,-0.7439305882352941,-0.9937,0.5822981101233468
