paper,COVID,Post-COVID,Pre-COVID
Daily Mail,-0.7350657980456026,-0.6766536144578313,-0.8567688524590165
Evening Standard,-0.4302955223880597,-0.42848351648351646,0.29822857142857145
The Guardian,-0.8206007352941176,-0.6790744186046511,-0.768164705882353
